发送者,内容,接收者,时间,相关链接
Andy,请我现在有没有人能彻底解决获取UIN的？,GROUP,2017-07-27 15:22:45,
李佳芮,,姣姣,2017-07-27 15:31:05,
ctrl,联系娇娇？,GROUP,2017-07-27 15:36:26,
姣姣,[呲牙]有需要的可以联系我哦,GROUP,2017-07-27 15:37:22,
Roy-Chang,加你了,GROUP,2017-07-27 15:40:50,
Roy-Chang,通过一下帮忙,GROUP,2017-07-27 15:40:56,
姣姣,加啦,GROUP,2017-07-27 15:41:24,
Roy-Chang,没有啊,GROUP,2017-07-27 15:41:53,
