发送者,内容,接收者,时间,相关链接
文柯宇电工,HBL丿戴普思集团总部 发了一个动画表情，点击下面链接查看: 未知,GROUP,2017-07-27 15:35:26,未知
文柯宇电工,HBL丿戴普思集团总部 撤回了一条消息,GROUP,2017-07-27 15:35:31,
文柯宇电工,HBL丿戴普思集团总部 发了一个动画表情，点击下面链接查看: http://emoji.qpic.cn/wx_emoji/HGK7JAXutm6LgjPnNcoia6G9WsxjUMIEe2nPvcjbATHoNMzONvqa4AUCpBkGZl1gR/,GROUP,2017-07-27 15:35:31,http://emoji.qpic.cn/wx_emoji/HGK7JAXutm6LgjPnNcoia6G9WsxjUMIEe2nPvcjbATHoNMzONvqa4AUCpBkGZl1gR/
文柯宇电工,考虑一下删浴桶好友？,GROUP,2017-07-27 15:36:54,
文柯宇电工,看看这个畜生的id,GROUP,2017-07-27 15:36:59,
马桥街上小老鼠,？？？,GROUP,2017-07-27 15:38:10,
