发送者,内容,接收者,时间,相关链接
Dw,"成渝15分校 分享了一个链接: {""title"": ""\u3010\u793e\u4f1a\u65f6\u5206\u79d2\u3011\u5fc3\u75bc\uff01\u5973\u5b505\u6b21\u8003\u79d1\u76ee\u4e8c\u5747\u5931\u8d25 \u8003\u5b8c\u8f66\u5185\u5927\u54ed\u60f9\u4eba\u5fc3\u75bc"", ""url"": ""http://m.zijieimg.net/a6446899458050359822/?iid=8520319456&amp;app=news_article&amp;wxshare_count=1&amp;tt_from=weixin&amp;utm_source=weixin&amp;utm_medium=toutiao_android&amp;utm_campaign=client_share"", ""description"": ""7\u670818\u65e5\u4e0b\u5348\uff0c\u4e00\u7f51\u53cb\u7206\u6599\uff0c\u5176\u8ba4\u8bc6\u7684\u4e00\u4f4d\u5973\u5b50\u5df2\u7ecf\u53c2\u52a0\u8fc75\u6b21\u79d1\u76ee2\u7684\u8003\u8bd5\u4e86\uff0c\u7ed3\u679c\u8fd9\u6b21\u8fd8\u662f\u5931\u5229\u672a\u8fc7\u3002\u5973\u5b50\u8003\u5b8c\u4e4b\u540e\u8f66\u5185\u62b1\u7740\u65b9\u5411\u76d8\u75db\u54ed\u3002"", ""appname"": ""\u4eca\u65e5\u5934\u6761""}",GROUP,2017-07-27 15:41:18,http://m.zijieimg.net/a6446899458050359822/?iid=8520319456&amp;app=news_article&amp;wxshare_count=1&amp;tt_from=weixin&amp;utm_source=weixin&amp;utm_medium=toutiao_android&amp;utm_campaign=client_share
Dw,成渝15分校 撤回了一条消息,GROUP,2017-07-27 15:42:42,
