发送者,内容,接收者,时间,相关链接
hazelnut,[害羞][害羞],Yang Chen @ Fudan,2017-07-27 15:14:57,
hazelnut,www.hazelnutsgz.com:5000,GROUP,2017-07-27 15:15:05,
